Reaction,Pvalue,Padj,Reject,FC
R01229_c_reverse,1.4334782434603487e-07,2.459056173740923e-07,True,0.23245058318213838
R00238_c_reverse,0.001115801546231492,0.0015626158822224213,True,0.10334417028764206
R02101_c_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.3562964137786557
R04429_p_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.5034368466685857
R00344_c,1.1316933501002751e-08,2.0824473564345178e-08,True,0.27191523304415305
R00715_c,5.803555641539872e-10,1.2044756462605702e-09,True,-0.4974624385677027
R01049_c_reverse,1.4334782434603487e-07,2.459056173740923e-07,True,0.17878243347099923
R00236_m_reverse,5.569062975843453e-05,8.42345726095318e-05,True,0.11708311637253281
R01514_p_reverse,5.569062975843453e-05,8.42345726095318e-05,True,0.18792079035583406
R00185_c_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,-0.36860781481617677
R01968_c,1.1316933501002751e-08,2.0824473564345178e-08,True,0.22487374380524464
R02239_c_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.21424046914316794
R02094_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.3094541643812201
R01975_x_reverse,1.1316933501002751e-08,2.0824473564345178e-08,True,0.24391276101896345
R00948_p_reverse,0.0335416594061465,0.043286178193864905,True,0.14973177231156878
R04961_p,1.4508889103849681e-11,3.842730879806213e-11,True,0.4395881455214848
R04929_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.5828874383045322
R04954_p_reverse,0.0002704973445409677,0.00039362027378030476,True,0.2124859344263744
R04953_p_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.5293619389095156
TCM26_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.2624211989939233
R01819_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.2633400870097691
R01248_c_reverse,1.1316933501002751e-08,2.0824473564345178e-08,True,0.27921505626710974
R00372_x_reverse,1.3259673752008224e-06,2.166031867102247e-06,True,0.16800395820438915
R02235_c,5.803555641539872e-10,1.2044756462605702e-09,True,0.2723908839247227
R04954_c_reverse,1.1316933501002751e-08,2.0824473564345178e-08,True,0.2239373132927089
R02093_c_reverse,0.00396729438660086,0.005447499667501832,True,-0.21360676414000723
TCP6_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.3143144758182883
TCX12,1.4508889103849681e-11,3.842730879806213e-11,True,0.3106854673479678
R03664_c,0.001115801546231492,0.0015626158822224213,True,0.07929724596391277
R01177_x_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.28618630974929554
R01432_c_reverse,9.54696510144592e-06,1.4977023318996947e-05,True,0.21717782848339984
R01867_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.25666586182541207
R00416_c,1.3259673752008224e-06,2.166031867102247e-06,True,0.19887348038016006
